iter	Passed	Remaining
431	1597	2100
432	1602	2098
433	1604	2092
434	1606	2087
435	1611	2085
436	1613	2079
437	1616	2074
438	1618	2068
439	1620	2063
440	1627	2063
441	1630	2059
442	1632	2053
443	1635	2047
444	1639	2044
445	1642	2039
446	1644	2034
447	1647	2029
448	1650	2025
449	1652	2019
450	1657	2018
451	1660	2013
452	1663	2008
453	1665	2002
454	1667	1997
455	1672	1995
456	1676	1991
457	1679	1986
458	1681	1982
459	1683	1976
460	1686	1971
461	1688	1965
462	1690	1960
463	1693	1955
464	1696	1951
465	1699	1947
466	1702	1942
467	1704	1938
468	1706	1932
469	1708	1927
470	1713	1924
471	1717	1921
472	1719	1915
473	1721	1910
474	1723	1904
475	1727	1901
476	1729	1896
477	1731	1891
478	1735	1887
479	1737	1882
480	1745	1883
481	1748	1878
482	1750	1873
483	1752	1868
484	1754	1863
485	1760	1861
486	1764	1858
487	1766	1853
488	1768	1848
489	1770	1842
490	1774	1839
491	1778	1836
492	1781	1831
493	1783	1827
494	1786	1822
495	1791	1820
496	1794	1815
497	1797	1812
498	1800	1807
499	1802	1802
500	1807	1800
501	1810	1795
502	1813	1791
503	1815	1786
504	1817	1781
505	1822	1779
506	1825	1774
507	1828	1770
508	1830	1765
509	1832	1760
510	1838	1759
511	1840	1754
512	1844	1750
513	1846	1745
514	1848	1741
515	1852	1737
516	1855	1733
517	1857	1728
518	1859	1723
519	1862	1718
520	1864	1713
521	1867	1709
522	1870	1705
523	1872	1700
524	1874	1695
525	1876	1690
526	1881	1688
527	1888	1688
528	1891	1683
529	1899	1684
530	1901	1679
531	1907	1677
532	1915	1678
533	1918	1674
534	1920	1669
535	1923	1664
536	1929	1663
537	1936	1662
538	1939	1658
539	1945	1657
540	1949	1653
541	1951	1649
542	1963	1652
543	1967	1649
544	1975	1649
545	1982	1648
546	1984	1643
547	1990	1642
548	1994	1638
549	1996	1633
550	1998	1628
551	2002	1625
552	2005	1620
553	2008	1617
554	2010	1612
555	2013	1607
556	2018	1605
557	2021	1601
558	2024	1596
559	2026	1592
560	2029	1588
561	2034	1585
562	2038	1581
563	2039	1576
564	2042	1572
565	2046	1569
566	2048	1564
567	2052	1560
568	2053	1555
569	2055	1550
570	2057	1545
571	2061	1542
572	2064	1538
573	2066	1533
574	2068	1529
575	2070	1524
576	2076	1522
577	2079	1517
578	2081	1513
579	2085	1509
580	2087	1505
581	2093	1503
582	2096	1499
583	2098	1494
584	2100	1489
585	2102	1485
586	2107	1482
587	2110	1479
588	2114	1475
589	2116	1470
590	2118	1466
591	2123	1463
592	2126	1459
593	2129	1455
594	2132	1451
595	2134	1446
596	2136	1442
597	2139	1437
598	2142	1434
599	2145	1430
600	2147	1425
601	2149	1420
602	2154	1418
603	2157	1414
604	2159	1410
605	2161	1405
606	2163	1401
607	2167	1397
608	2170	1393
609	2172	1389
610	2175	1385
611	2177	1380
612	2183	1378
613	2185	1374
614	2189	1370
615	2191	1366
616	2195	1362
617	2201	1360
618	2203	1356
619	2207	1353
620	2210	1348
621	2212	1344
622	2217	1341
623	2220	1338
624	2224	1334
625	2227	1330
626	2229	1326
627	2233	1323
628	2236	1319
629	2239	1315
630	2241	1310
631	2243	1306
632	2249	1304
633	2252	1300
634	2255	1296
635	2257	1292
636	2262	1289
637	2264	1284
638	2267	1281
639	2269	1276
640	2272	1272
641	2274	1268
642	2279	1265
643	2283	1262
644	2285	1258
645	2288	1253
646	2290	1249
647	2293	1246
648	2296	1242
649	2300	1238
650	2302	1234
651	2308	1232
652	2312	1229
653	2314	1224
654	2317	1220
655	2322	1217
656	2324	1213
657	2327	1209
658	2329	1205
659	2332	1201
660	2340	1200
661	2348	1199
662	2353	1196
663	2357	1192
664	2363	1190
665	2367	1187
666	2370	1183
667	2374	1180
668	2377	1176
669	2379	1172
670	2382	1168
671	2384	1163
672	2386	1159
673	2391	1156
674	2394	1152
675	2397	1149
676	2399	1144
677	2402	1140
678	2405	1137
679	2408	1133
680	2411	1129
681	2414	1125
682	2416	1121
683	2418	1117
684	2421	1113
685	2426	1110
