iter	Logloss
0	0.6876196301
1	0.6821829955
2	0.6773187434
3	0.6724687059
4	0.6674341114
5	0.6630355262
6	0.6577088704
7	0.6529877038
8	0.6485145537
9	0.6431032229
10	0.6383235495
11	0.6338189555
12	0.6289099359
13	0.6241924369
14	0.6191569619
15	0.6145409106
16	0.6108410927
17	0.6065076344
18	0.6019770203
19	0.596918688
20	0.5932087664
21	0.5902676645
22	0.5868019364
23	0.5833553772
24	0.5791124185
25	0.5761944426
26	0.5721695049
27	0.5678015043
28	0.5640553304
29	0.5599015865
30	0.5563618606
31	0.5534488461
32	0.5508213184
33	0.5480927271
34	0.5441520674
35	0.5409299097
36	0.5385539268
37	0.5346418517
38	0.5312672121
39	0.5276007164
40	0.5245844478
41	0.52061369
42	0.5176224041
43	0.5136937053
44	0.5112603802
45	0.508603175
46	0.5062677611
47	0.5027813489
48	0.5011066255
49	0.4979411395
50	0.4955542865
51	0.4933406937
52	0.4907459328
53	0.4880340002
54	0.4850847878
55	0.4824703001
56	0.4793097978
57	0.4768757116
58	0.4743990144
59	0.4721895986
60	0.4693502189
61	0.4666305951
62	0.4648737647
63	0.4626907461
64	0.460822824
65	0.4583989913
66	0.4556719083
67	0.4535486813
68	0.451717777
69	0.4493906708
70	0.4471329604
71	0.4445901638
72	0.4424867128
73	0.4418915668
74	0.4394186885
75	0.4378323565
76	0.4356695333
77	0.4331491487
78	0.4307955644
79	0.4289760617
80	0.426556388
81	0.4243239587
82	0.422255591
83	0.4199486516
84	0.4181102828
85	0.4160220897
86	0.4143410268
87	0.4121780377
88	0.4101753121
89	0.4083110801
90	0.4067762713
91	0.4049343989
92	0.4026621327
93	0.4009679056
94	0.3995657613
95	0.3976058095
96	0.3968067762
97	0.3961299032
98	0.3944170401
99	0.3927455768
100	0.3907676499
101	0.3892340014
102	0.3872269653
103	0.3859358543
104	0.3844885664
105	0.383250396
106	0.3821512968
107	0.3802440871
108	0.3783264222
109	0.3773453705
110	0.375728124
111	0.3739808307
112	0.3721827736
113	0.3705746663
114	0.3691020027
115	0.3674484618
116	0.3661036668
117	0.3647672484
118	0.3630430824
119	0.3614012588
120	0.3595722971
121	0.3582257016
122	0.3570242498
123	0.3553430319
124	0.3543552999
125	0.353567764
126	0.3523733102
127	0.3513364852
128	0.3501607591
129	0.348714098
130	0.3473712166
131	0.3460154765
132	0.3450300496
133	0.3434995043
134	0.3420747152
135	0.3408372272
136	0.3395650707
137	0.3384949696
138	0.3373388968
139	0.3358801508
140	0.33431704
141	0.3334317753
142	0.3326440861
143	0.3314716533
144	0.3304893002
145	0.3289604531
146	0.3279449382
147	0.3269599784
148	0.3260274934
149	0.3247819317
150	0.3234062781
151	0.3228268075
152	0.3216463585
153	0.3206975353
154	0.3195381907
155	0.31873943
156	0.3176753384
157	0.316535429
158	0.3152544123
159	0.3144309321
160	0.3133240883
161	0.3123821811
162	0.3113503335
163	0.3104689821
164	0.3094492792
165	0.3081876386
166	0.3068089841
167	0.3054130477
168	0.3046768028
169	0.3037476806
170	0.3029036586
171	0.3020747868
172	0.3013572908
173	0.3010012891
174	0.3000135942
175	0.2992123996
176	0.2979391261
177	0.2973335151
178	0.2971813276
179	0.2964944194
180	0.2958902191
181	0.2950925402
182	0.2946385054
183	0.2935008345
184	0.2926864681
185	0.292011347
186	0.2911045627
187	0.2900844262
188	0.2895102156
189	0.2889315045
190	0.2883327652
191	0.2878262115
192	0.2868289134
193	0.2863000767
194	0.2852288522
195	0.2845267099
196	0.2835278079
197	0.282317192
198	0.2816678947
199	0.2808596244
200	0.2799405009
201	0.27892282
202	0.2783364727
203	0.2773157747
204	0.2768376328
205	0.2759749348
206	0.2752963003
207	0.2743597819
208	0.2737247623
209	0.2728114467
210	0.2717332369
211	0.2709349533
212	0.2700588148
213	0.2695102681
